Date,RBC
4/30/2019,79.69
5/1/2019,79.19
5/2/2019,79
5/3/2019,79.62
5/6/2019,79.65
5/7/2019,78.9
5/8/2019,78.6
5/9/2019,78.75
5/10/2019,78.59
5/13/2019,77.49
5/14/2019,77.74
5/15/2019,77.95
5/16/2019,78.24
5/17/2019,78.06
5/20/2019,78.24
5/21/2019,78.42
5/22/2019,78.39
5/23/2019,76.16
5/24/2019,77.26
5/28/2019,76.84
5/29/2019,76
5/30/2019,75.97
5/31/2019,75.15
6/3/2019,75.68
6/4/2019,76.91
6/5/2019,77.08
6/6/2019,77.17
6/7/2019,77.67
6/10/2019,77.9
6/11/2019,77.68
6/12/2019,76.78
6/13/2019,77.27
6/14/2019,77.21
6/17/2019,77.24
6/18/2019,78.72
6/19/2019,79.17
6/20/2019,79.92
6/21/2019,79.51
6/24/2019,79.64
6/25/2019,79.12
6/26/2019,79.11
6/27/2019,78.99
6/28/2019,79.4
7/1/2019,79.67
7/2/2019,79.95
7/3/2019,80.74
7/5/2019,80.87
